SUBJ_NAME,TEXT,FIX_LATENCY,X,Y,FDUR,ISFIRST,ISLAST,READMODE,FIXED_WORD,FIXED_WINDOW,TEXT_TYPE,COS_INST,PHASE
s01,chasse_oiseaux-f1,194,336.5,271.8,121,1,0,2,Pas-de-Calais~2,Dans~0_Pas-de-Calais~2,f,0.11,0
s01,chasse_oiseaux-f1,339,395.2,276.2,204,0,0,2,Pas-de-Calais~2,Pas-de-Calais~2,f,0.11,0
s01,chasse_oiseaux-f1,568,336.6,273.2,269,0,0,4,Pas-de-Calais~2,Dans~0_Pas-de-Calais~2,f,0.11,0
s01,chasse_oiseaux-f1,889,599.6,287.8,236,0,0,3,chasseurs~4,les~3_chasseurs~4,f,0.55,1
s01,chasse_oiseaux-f1,1274,285.1,347.3,259,0,0,4,réclament~5,réclament~5,f,0.15,1
s01,chasse_oiseaux-f1,1577,407.3,350.9,267,0,0,2,droit~7,le~6_droit~7,f,0.18,1
s01,chasse_oiseaux-f1,1871,485.7,348.2,111,0,0,4,droit~7,droit~7,f,0.18,1
s01,chasse_oiseaux-f1,2009,553.9,353.2,162,0,0,4,continuer~9,de~8_continuer~9,f,0.19,1
s01,chasse_oiseaux-f1,2213,684.4,357.1,204,0,0,4,chasser~11,à~10_chasser~11,f,0.55,3
s01,chasse_oiseaux-f1,2473,351,414.9,150,0,0,2,huttes~14,les~13_huttes~14,f,0.35,3
s01,chasse_oiseaux-f1,2649,280.3,418.9,216,0,0,4,huttes~14,dans~12_huttes~14,f,0.35,3
s01,chasse_oiseaux-f1,2913,499.3,421.4,345,0,0,3,France~16,La~15_France~16,f,0.16,3
s01,chasse_oiseaux-f1,3285,579.9,418.7,409,0,0,3,risque~17,France~16_risque~17,f,0.22,3
s01,chasse_oiseaux-f1,3734,715.7,412.4,128,0,0,4,pourtant~18,pourtant~18,f,0.25,3
s01,chasse_oiseaux-f1,3927,359.8,470.3,201,0,0,3,lourde~20,lourde~20,f,0.20,3
s01,chasse_oiseaux-f1,4160,389,469.8,177,0,0,1,amende~21,lourde~20_amende~21,f,0.15,3
s01,chasse_oiseaux-f1,4365,315.6,472,178,0,1,4,lourde~20,une~19_lourde~20,f,0.20,3
s01,chasse_oiseaux-f2,194,305.1,278.4,138,1,0,3,Plusieurs~0,Plusieurs~0,f,0.24,0
s01,chasse_oiseaux-f2,455,428.4,284.1,244,0,0,3,tribunaux~1,tribunaux~1,f,0.17,0
s01,chasse_oiseaux-f2,732,546,284.8,342,0,0,3,administratifs~2,administratifs~2,f,0.17,0
s01,chasse_oiseaux-f2,1116,655,291.2,96,0,0,3,ont~3,administratifs~2_ont~3,f,0.21,0
s01,chasse_oiseaux-f2,1273,288.6,371.8,223,0,0,4,sommé~4,sommé~4,f,0.13,0
s01,chasse_oiseaux-f2,1534,415.3,351.6,156,0,0,2,préfets~6,préfets~6,f,0.18,0
s01,chasse_oiseaux-f2,1711,392.6,357.1,271,0,0,4,préfets~6,les~5_préfets~6,f,0.18,0
s01,chasse_oiseaux-f2,2025,537.7,356.7,221,0,0,3,treize~8,de~7_treize~8,f,0.20,0
s01,chasse_oiseaux-f2,2285,653.7,356.8,190,0,0,2,départements~9,départements~9,f,0.15,0
s01,chasse_oiseaux-f2,2493,630.5,360.8,94,0,0,4,départements~9,treize~8_départements~9,f,0.15,0
s01,chasse_oiseaux-f2,2645,311.9,424.6,207,0,0,2,prendre~11,prendre~11,f,0.21,0
s01,chasse_oiseaux-f2,2874,279.2,426.9,92,0,0,4,prendre~11,prendre~11,f,0.21,0
s01,chasse_oiseaux-f2,3004,404.2,418.1,180,0,0,2,arrêtés~13,des~12_arrêtés~13,f,0.21,0
s01,chasse_oiseaux-f2,3208,459.9,417.3,89,0,0,4,arrêtés~13,arrêtés~13,f,0.21,0
s01,chasse_oiseaux-f2,3332,570.6,420.4,302,0,0,4,fermeture~15,de~14_fermeture~15,f,0.16,0
s01,chasse_oiseaux-f2,3688,305.4,477,251,0,0,4,chasse~18,chasse~18,f,0.80,0
s01,chasse_oiseaux-f2,3977,402.5,484.3,209,0,0,3,oiseaux~20,aux~19_oiseaux~20,f,0.85,0
s01,chasse_oiseaux-f2,4218,533.8,482.3,222,0,1,4,migrateurs~21,migrateurs~21,f,0.68,0
